INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,DESTOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,DEST_UA_OBS,VIS_METERS
34,20180107,1610,SLC,72572024127,2018-01-07 22:06:00+00:00,72572024127,2018-01-07 22:06:00+00:00,FM-16,MET11101/07/18 15:06:02 SPECI KSLC 072206Z 30007KT 1/8SM R16L/0800V1200FT FG VV002 03/02 A3021 RMK AO2 T00330022 (EE),201
37,20180107,521,SLC,72572024127,2018-01-07 22:06:00+00:00,72572024127,2018-01-07 22:06:00+00:00,FM-16,MET11101/07/18 15:06:02 SPECI KSLC 072206Z 30007KT 1/8SM R16L/0800V1200FT FG VV002 03/02 A3021 RMK AO2 T00330022 (EE),201
35,20180107,1134,SLC,72572024127,2018-01-07 23:54:00+00:00,72572024127,2018-01-07 23:54:00+00:00,FM-15,MET15601/07/18 16:54:02 METAR KSLC 072354Z 32006KT 1/16SM R16L/0800FT FG VV002 01/01 A3024 RMK AO2 TWR VIS 1/8 SLP249 I1002 I6002 T00060006 10078 20006 53002 (EE),0
36,20180107,1747,SLC,72572024127,2018-01-08 06:54:00+00:00,72572024127,2018-01-08 06:54:00+00:00,FM-15,MET12901/07/18 23:54:02 METAR KSLC 080654Z 11004KT 1/8SM R16L/1400V2000FT FG VV002 00/00 A3020 RMK AO2 SLP231 I1001 T00000000 400780000,201
33,20180107,2170,SLC,72572024127,2018-01-08 06:54:00+00:00,72572024127,2018-01-08 06:54:00+00:00,FM-15,MET12901/07/18 23:54:02 METAR KSLC 080654Z 11004KT 1/8SM R16L/1400V2000FT FG VV002 00/00 A3020 RMK AO2 SLP231 I1001 T00000000 400780000,201
38,20180108,588,SLC,72572024127,2018-01-08 18:54:00+00:00,72572024127,2018-01-08 18:54:00+00:00,FM-15,MET15501/08/18 11:54:02 METAR KSLC 081854Z 14004KT 1/4SM R16L/3000VP6000FT BR BCFG OVC004 M01/M01 A3009 RMK AO2 SFC VIS 1 1/4 PRESFR SLP203 I1000 T10061011 (WLL),402
39,20180108,675,GEG,72785024157,2018-01-08 20:53:00+00:00,72785024157,2018-01-08 20:53:00+00:00,FM-15,MET11901/08/18 12:53:02 METAR KGEG 082053Z 07005KT 1/16SM R03/0500FT FG VV001 01/01 A2981 RMK AO2 SLP113 T00110011 58020 (DL),0
44,20180108,501,CVG,72421093814,2018-01-08 23:52:00+00:00,72421093814,2018-01-08 23:52:00+00:00,FM-15,MET14701/08/18 18:52:02 METAR KCVG 082352Z 23005KT 1/8SM R18C/4500V6000FT FG OVC002 03/03 A3016 RMK AO2 SFC VIS 1 SLP217 T00280028 10028 20022 53025 (JO),201
43,20180108,1717,JAX,72206013889,2018-01-09 04:18:00+00:00,72206013889,2018-01-09 04:18:00+00:00,FM-16,MET11701/08/18 23:18:02 SPECI KJAX 090418Z 04006KT 1/8SM R08/2200V3000FT FG VV002 13/12 A3016 RMK AO2 TWR VIS 1/4 T01280122,201
40,20180108,255,GEG,72785024157,2018-01-09 04:53:00+00:00,72785024157,2018-01-09 04:53:00+00:00,FM-15,MET11201/08/18 20:53:02 METAR KGEG 090453Z 04005KT 1/4SM R03/1600V6000FT FG VV002 01/01 A2970 RMK AO2 SLP075 T00060006,402
